Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
2005,Industrial,Drying/Separation,2644.0092130289886,8508.321083390803,5.3529125186312365,493.9384314289286
2005,Industrial,Lighting/ Appliances,278.7395533474434,896.9732808926436,5.3529125186312365,52.072503030316355
2005,Industrial,Motors/Drivers,2995.4376340394033,9639.204375722535,5.3529125186312365,559.5902461722558
2005,Industrial,Other non-transport,8833.905717929714,28427.172605212818,5.3529125186312365,1650.2989143167583
2005,Industrial,Process use,13024.789368987924,41913.27679525349,5.3529125186312365,2433.2154362048905
2005,Industrial,Space heating,4317.762287367914,13894.394815892552,5.3529125186312365,806.6192511720675
2005,Industrial,Unknown industrial heat,208.54611774402986,671.0934749081664,5.3529125186312365,38.95937342860892
2005,Services,Cooking/ Catering,2164.5722942581556,1456.8208165520214,5.3529125186312365,404.37281325338125
2005,Services,Lighting/ Appliances,4153.12010152901,2795.1719762825887,5.3529125186312365,775.8617550863657
2005,Services,Other non-transport,2673.776354461499,1799.5301253354808,5.3529125186312365,499.4993557535656
2005,Services,Space heating,10147.354908633286,6829.468298680552,5.3529125186312365,1895.6698569824582
2005,Services,Water ,1635.5979921138667,1100.8055534771577,5.3529125186312365,305.55290907912996
2006,Domestic,Cooking/ Catering,1343.424450475297,2310.7358891594595,5.294055584155492,253.7609265939734
2006,Domestic,Lighting/ Appliances,7543.881853674305,12975.7341670361,5.294055584155492,1424.9721661881088
2006,Domestic,Space heating,29320.863286270374,50432.88520820976,5.294055584155492,5538.450214618901
2006,Domestic,Water ,8366.977260365904,14391.486348538883,5.294055584155492,1580.4475656446293
2006,Industrial,Drying/Separation,2573.5375245734235,8257.139213719744,5.294055584155492,486.11834229238724
2006,Industrial,Lighting/ Appliances,271.3102120021306,870.49291848843,5.294055584155492,51.24808527022861
2006,Industrial,Motors/Drivers,2915.5992028063024,9354.636673880404,5.294055584155492,550.7307500760589
2006,Industrial,Other non-transport,8598.452585417142,27587.948239505913,5.294055584155492,1624.1711951705486
2006,Industrial,Process use,12677.635170701624,40675.91690647073,5.294055584155492,2394.6924940955187
2006,Industrial,Space heating,4202.679481589036,13484.205774647187,5.294055584155492,793.8487639168692
2006,Industrial,Unknown industrial heat,202.9876662205428,651.2815152865975,5.294055584155492,38.342564220153236
2006,Services,Cooking/ Catering,2034.169562343082,1359.1387843817276,5.294055584155492,384.2365328447099
2006,Services,Lighting/ Appliances,3902.919076297648,2607.7514810462826,5.294055584155492,737.226690248331
2006,Services,Other non-transport,2512.6970770095068,1678.8689173150804,5.294055584155492,474.626123029332
2006,Services,Space heating,9536.036540885669,6371.542152597169,5.294055584155492,1801.2724629159438
2006,Services,Water ,1537.0628463706496,1026.9948814533384,5.294055584155492,290.33749682774476
2007,Domestic,Cooking/ Catering,1296.0413709461639,2208.2662401143984,5.0967660277255415,254.28700550425876
2007,Domestic,Lighting/ Appliances,7277.806337701249,12400.32486455547,5.0967660277255415,1427.9263160426078
2007,Domestic,Space heating,28286.705543745546,48196.43747229177,5.0967660277255415,5549.932131447798
2007,Domestic,Water ,8071.870863570683,13753.29547510765,5.0967660277255415,1583.7240359202435
2007,Industrial,Drying/Separation,2499.715633033729,8313.204319905004,5.0967660277255415,490.45132137431864
2007,Industrial,Lighting/ Appliances,263.5276819815696,876.4034737843224,5.0967660277255415,51.704881202712414
2007,Industrial,Motors/Drivers,2831.965276326655,9418.153672306955,5.0967660277255415,555.6396469685375
2007,Industrial,Other non-transport,8351.806081098117,27775.267504380536,5.0967660277255415,1638.6481222927853
2007,Industrial,Process use,12313.977365204311,40952.10210106633,5.0967660277255415,2416.0374045460135
2007,Industrial,Space heating,4082.1256734927683,13575.762112624798,5.0967660277255415,800.9246748402218
